!PROJECT:     Praktikum2022_BlaueKuppe
!LOCATION:    Blaue Kuppe, Eschwege
!DATA:        SRTM1
!OPERATOR:    
!DATE:
!COORDINATES: UTM 32T
!NOTES:       10m resolution (resampled)
!VALUE:     datetime    easting    northing    elev    depth        field1        field2
!UNIT:                      [m]         [m]     [m]      [m]           [x]          [xx]
2022-08-17-12:00:00   572365.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572375.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572385.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572395.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572405.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572415.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572425.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572435.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572445.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572455.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572465.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572475.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572485.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572495.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572505.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572515.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572525.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572535.42  5668487.78  243.00     0.00          0.00          0.00
2022-08-17-12:00:00   572545.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572555.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572565.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572575.42  5668487.78  244.00     0.00          0.00          0.00
2022-08-17-12:00:00   572585.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572595.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572605.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572615.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572625.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572635.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572645.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572655.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572665.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572675.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572685.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572695.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572705.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572715.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572725.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572735.42  5668487.78  246.00     0.00          0.00          0.00
2022-08-17-12:00:00   572745.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572755.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572765.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572775.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572785.42  5668487.78  245.00     0.00          0.00          0.00
2022-08-17-12:00:00   572795.42  5668487.78  245.00     0.00          0.00          0.00
